Param,Value,min_sam_loc,SNP,Loci
clust_threshold,0.82,80,5115,324
clust_threshold,0.85,80,5656,361
clust_threshold,0.88,80,5584,355
clust_threshold,0.91,80,4493,288
clust_threshold,0.94,80,3932,249
clust_threshold,0.82,60,15023,876
clust_threshold,0.85,60,16452,966
clust_threshold,0.88,60,18458,1080
clust_threshold,0.91,60,17325,1029
clust_threshold,0.94,60,16309,946
clust_threshold,0.82,40,41528,2438
clust_threshold,0.85,40,47237,2763
clust_threshold,0.88,40,56231,3312
clust_threshold,0.91,40,61285,3667
clust_threshold,0.94,40,64204,3848
mindepth,6,80,5656,361
mindepth,6,60,16452,966
mindepth,6,40,47237,2763
mindepth,5,80,5608,337
mindepth,5,60,18635,1029
mindepth,5,40,58124,3210
mindepth,4,80,5781,319
mindepth,4,60,22057,1113
mindepth,4,40,73552,3701
mindepth,3,80,6716,332
mindepth,3,60,28570,1315
mindepth,3,40,99753,4616
