"Id","Especie","Muestra","total_sequences","trim_adapter_bp_read1","trim_adapter_bp_read2","trim_quality_bp_read1","trim_quality_bp_read2","reads_filtered_by_Ns","reads_filtered_by_minlen","reads_passed_filter","reads_deleted","perc_reads_passed","perc_reads_deleted"
"A04","M_haageana_conspicua","Mhc_1_2*",1586919,35441,28873,337709,618624,2,232321,1354596,232323,85.3601223502901,14.6398776497099
"A05","M_haageana_conspicua","Mhc_5_4",2617719,63914,55676,543111,1150831,4,278599,2339116,278603,89.3570318280916,10.6429681719084
"A06","M_haageana_meissneri","Mhm_1_3*",3196820,70994,57578,742219,1117865,4,471126,2725690,471130,85.2625421512628,14.7374578487372
"A07","M_haageana_meissneri","Mhm_6_6",3500405,80617,68078,803679,1507957,2,442784,3057619,442786,87.350435163931,12.649564836069
"A08","M_haageana_haageana","Mhh_2_3",2758913,64499,51011,618028,972604,2,384500,2374411,384502,86.0632792697704,13.9367207302296
"A09","M_albilanata_oaxacana","Mao_1_3",6118488,138014,102317,1371229,2210026,6,985310,5133172,985316,83.8960867456143,16.1039132543857
"A10","M_albilanata_oaxacana","Mao_6_5",2624056,59919,47543,523868,960808,6,365091,2258959,365097,86.086539311661,13.913460688339
"A11","M_albilanata_reppenhagenii","Mar_1_1",1341199,27491,19190,272327,352075,0,274042,1067157,274042,79.5673870916993,20.4326129083007
"A12","M_huitzilopochtli","Mhui_2",3465897,154865,67128,765850,1355392,0,552246,2913651,552246,84.0662893328913,15.9337106671087
"B04","M_haageana_conspicua","Mhc_2_2",2450881,53832,45396,551679,836127,1,353313,2097567,353314,85.5842042106491,14.4157957893509
"B05","M_haageana_conspicua","Mhc_6_1",2073998,45059,36785,526899,762215,0,315371,1758627,315371,84.7940547676517,15.2059452323483
"B06","M_haageana_meissneri","Mhm_2_1",2802567,63125,53085,583984,1131055,6,364963,2437598,364969,86.9773318532617,13.0226681467383
"B07","M_haageana_meissneri","Mhm_7_1",3080592,69793,60844,622494,1185047,3,363384,2717205,363387,88.2039880646317,11.7960119353683
"B08","M_haageana_haageana","Mhh_3_2",1725562,37379,29927,618372,605664,1,319212,1406349,319213,81.5009254955777,18.4990745044223
"B09","M_albilanata_oaxacana","Mao_1_5",4049292,89881,66216,997341,1484174,4,595756,3453532,595760,85.2873045460787,14.7126954539213
"B10","M_albilanata_oaxacana","Mao_4_1",3158841,73817,54744,725212,1226597,1,484543,2674297,484544,84.6607030869867,15.3392969130133
"B11","M_supertexta","Ms_1",4522997,102553,90938,1013712,1788759,3,600983,3922011,600986,86.7126597696174,13.2873402303826
"B12","M_dixanthocentron","Md_1",803051,16610,13115,222183,274276,2,153969,649080,153971,80.826746993653,19.173253006347
"C04","M_haageana_conspicua","Mhc_2_5",3795362,82313,69564,794459,1318139,1,556361,3239000,556362,85.3410030452958,14.6589969547042
"C05","M_haageana_conspicua","Mhc_6_2",2000023,44482,38189,563439,704800,1,302013,1698009,302014,84.899473656053,15.100526343947
"C06","M_haageana_meissneri","Mhm_3_2*",2935447,66239,58325,626785,1188695,6,400805,2534636,400811,86.3458273986892,13.6541726013108
"C07","M_haageana_meissneri","Mhm_7_3",2603299,59966,44991,585751,971234,4,383270,2220025,383274,85.2773730562644,14.7226269437356
"C08","M_haageana_haageana","Mhh_3_3",2475209,60537,50957,528673,1085647,1,309317,2165891,309318,87.5033583022686,12.4966416977314
"C09","M_albilanata_oaxacana","Mao_2_1",2719818,60256,48499,658715,983536,3,440718,2279097,440721,83.7959378164274,16.2040621835726
"C10","M_albilanata_oaxacana","Mao_4_2",3175008,75439,55899,604910,1257483,8,357694,2817306,357702,88.7338236628065,11.2661763371935
"C11","M_supertexta","Ms_2",3084661,66956,55935,809412,1131823,4,455657,2629000,455661,85.2281660772448,14.7718339227552
"C12","M_dixanthocentron","Md_2",1040817,44912,18204,236315,379804,0,187435,853382,187435,81.9915508682122,18.0084491317878
"D03","M_haageana_san_angelensis","Mhsa_6_1",2882929,65598,49318,616054,1050273,3,403719,2479207,403722,85.9961171433636,14.0038828566364
"D04","M_haageana_conspicua","Mhc_3_1",3183276,69209,56337,748704,1042555,3,568979,2614294,568982,82.1258979742881,17.8741020257119
"D05","M_haageana_conspicua","Mhc_7_2",1990582,41515,33967,475886,699696,3,290113,1700466,290116,85.4255690044419,14.5744309955581
"D06","M_haageana_meissneri","Mhm_3_4*",2776506,66316,54585,1474640,896786,0,509248,2267258,509248,81.6586746075823,18.3413253924177
"D07","M_haageana_haageana","Mhh_1_1",2533610,57681,46856,525931,932696,3,373845,2159762,373848,85.2444535662553,14.7555464337447
"D08","M_haageana_haageana","Mhh_3_4",4205186,95960,74176,985760,1477307,7,744068,3461111,744075,82.3057767242638,17.6942232757362
"D09","M_albilanata_oaxacana","Mao_3_1",4085512,92419,82666,887374,1621793,8,506804,3578700,506812,87.5948963067542,12.4051036932458
"D10","M_albilanata_oaxacana","Mao_4_4",2842575,66179,50099,615476,1060334,2,452583,2389990,452585,84.0783444588094,15.9216555411906
"D11","M_crucigera","Mc_1",684453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D12","M_flavicentra","Mf_2",3695182,79553,66220,895153,1320375,8,597136,3098038,597144,83.8399299412045,16.1600700587955
"E03","M_haageana_san_angelensis","Mhsa_6_2",1774507,36711,26167,399747,614867,1,283660,1490846,283661,84.014658719295,15.985341280705
"E04","M_haageana_conspicua","Mhc_3_2",4417062,97519,82639,1216940,1554846,5,671789,3745268,671794,84.7909311664631,15.2090688335369
"E05","M_haageana_conspicua","Mhc_7_3*",2426229,50927,41744,530608,891222,2,491859,1934368,491861,79.7273464293766,20.2726535706234
"E06","M_haageana_meissneri","Mhm_4_1",1103238,25487,19800,246167,405381,1,143306,959931,143307,87.0103277805877,12.9896722194123
"E07","M_haageana_haageana","Mhh_1_2",2048408,43604,33520,512293,745791,4,343165,1705239,343169,83.2470386758888,16.7529613241112
"E08","M_haageana_acultzingensis","Mha_1_1",3874828,93545,70634,1121597,1545348,2,719115,3155711,719117,81.4413181694775,18.5586818305225
"E09","M_albilanata_oaxacana","Mao_3_4",4280668,93850,77563,1055650,1426392,2,678933,3601733,678935,84.1395081328428,15.8604918671572
"E10","M_albilanata_oaxacana","Mao_5_1",1014823,21417,15359,212926,351168,0,174210,840613,174210,82.8334596279351,17.1665403720649
"E11","M_crucigera","Mc_3",858001,17233,12349,186874,268228,2,159072,698927,159074,81.4599283683819,18.5400716316181
"E12","M_flavicentra","Mf_3",2707996,55951,41067,950671,743671,2,648245,2059749,648247,76.0617445520599,23.9382554479401
"F04","M_haageana_conspicua","Mhc_4_3",3074553,67290,61064,694917,1069693,3,398669,2675881,398672,87.0331719765442,12.9668280234558
"F05","M_haageana_conspicua","Mhc_8_1",2788467,62073,53774,577132,1065108,3,318752,2469712,318755,88.5688085962645,11.4311914037355
"F06","M_haageana_meissneri","Mhm_5_4",2478691,59512,51245,535958,1127126,2,272720,2205969,272722,88.9973377076852,11.0026622923148
"F07","M_haageana_haageana","Mhh_1_3",4138931,91462,71616,821284,1485827,4,652870,3486057,652874,84.2260235795185,15.7739764204815
"F08","M_haageana_acultzingensis","Mha_1_5",1725993,40766,30646,404812,638778,1,295073,1430919,295074,82.9041021603216,17.0958978396784
"F09","M_albilanata_oaxacana","Mao_3_5",2025575,43699,35981,738122,563488,2,377861,1647712,377863,81.3453957518236,18.6546042481764
"F10","M_albilanata_oaxacana","Mao_5_2",2280041,51404,41579,458859,837529,2,343550,1936489,343552,84.9322007806,15.0677992194
"F11","M_lanata","Ml_1",1387216,31567,27142,443219,582473,2,158473,1228741,158475,88.576040068742,11.423959931258
