     reads_raw  trim_adapter_bp_read1  trim_adapter_bp_read2  trim_quality_bp_read1  trim_quality_bp_read2  reads_filtered_by_Ns  reads_filtered_by_minlen  reads_passed_filter
A04    1586919                  35441                  28873                 337709                 618624                     2                    232321              1354596
A05    2617719                  63914                  55676                 543111                1150831                     4                    278599              2339116
A06    3196820                  70994                  57578                 742219                1117865                     4                    471126              2725690
A07    3500405                  80617                  68078                 803679                1507957                     2                    442784              3057619
A08    2758913                  64499                  51011                 618028                 972604                     2                    384500              2374411
A09    6118488                 138014                 102317                1371229                2210026                     6                    985310              5133172
A10    2624056                  59919                  47543                 523868                 960808                     6                    365091              2258959
A11    1341199                  27491                  19190                 272327                 352075                     0                    274042              1067157
A12    3465897                 154865                  67128                 765850                1355392                     0                    552246              2913651
B04    2450881                  53832                  45396                 551679                 836127                     1                    353313              2097567
B05    2073998                  45059                  36785                 526899                 762215                     0                    315371              1758627
B06    2802567                  63125                  53085                 583984                1131055                     6                    364963              2437598
B07    3080592                  69793                  60844                 622494                1185047                     3                    363384              2717205
B08    1725562                  37379                  29927                 618372                 605664                     1                    319212              1406349
B09    4049292                  89881                  66216                 997341                1484174                     4                    595756              3453532
B10    3158841                  73817                  54744                 725212                1226597                     1                    484543              2674297
B11    4522997                 102553                  90938                1013712                1788759                     3                    600983              3922011
B12     803051                  16610                  13115                 222183                 274276                     2                    153969               649080
C04    3795362                  82313                  69564                 794459                1318139                     1                    556361              3239000
C05    2000023                  44482                  38189                 563439                 704800                     1                    302013              1698009
C06    2935447                  66239                  58325                 626785                1188695                     6                    400805              2534636
C07    2603299                  59966                  44991                 585751                 971234                     4                    383270              2220025
C08    2475209                  60537                  50957                 528673                1085647                     1                    309317              2165891
C09    2719818                  60256                  48499                 658715                 983536                     3                    440718              2279097
C10    3175008                  75439                  55899                 604910                1257483                     8                    357694              2817306
C11    3084661                  66956                  55935                 809412                1131823                     4                    455657              2629000
C12    1040817                  44912                  18204                 236315                 379804                     0                    187435               853382
D03    2882929                  65598                  49318                 616054                1050273                     3                    403719              2479207
D04    3183276                  69209                  56337                 748704                1042555                     3                    568979              2614294
D05    1990582                  41515                  33967                 475886                 699696                     3                    290113              1700466
D06    2776506                  66316                  54585                1474640                 896786                     0                    509248              2267258
D07    2533610                  57681                  46856                 525931                 932696                     3                    373845              2159762
D08    4205186                  95960                  74176                 985760                1477307                     7                    744068              3461111
D09    4085512                  92419                  82666                 887374                1621793                     8                    506804              3578700
D10    2842575                  66179                  50099                 615476                1060334                     2                    452583              2389990
D12    3695182                  79553                  66220                 895153                1320375                     8                    597136              3098038
E03    1774507                  36711                  26167                 399747                 614867                     1                    283660              1490846
E04    4417062                  97519                  82639                1216940                1554846                     5                    671789              3745268
E05    2426229                  50927                  41744                 530608                 891222                     2                    491859              1934368
E06    1103238                  25487                  19800                 246167                 405381                     1                    143306               959931
E07    2048408                  43604                  33520                 512293                 745791                     4                    343165              1705239
E08    3874828                  93545                  70634                1121597                1545348                     2                    719115              3155711
E09    4280668                  93850                  77563                1055650                1426392                     2                    678933              3601733
E10    1014823                  21417                  15359                 212926                 351168                     0                    174210               840613
E11     858001                  17233                  12349                 186874                 268228                     2                    159072               698927
E12    2707996                  55951                  41067                 950671                 743671                     2                    648245              2059749
F04    3074553                  67290                  61064                 694917                1069693                     3                    398669              2675881
F05    2788467                  62073                  53774                 577132                1065108                     3                    318752              2469712
F06    2478691                  59512                  51245                 535958                1127126                     2                    272720              2205969
F07    4138931                  91462                  71616                 821284                1485827                     4                    652870              3486057
F08    1725993                  40766                  30646                 404812                 638778                     1                    295073              1430919
F09    2025575                  43699                  35981                 738122                 563488                     2                    377861              1647712
F10    2280041                  51404                  41579                 458859                 837529                     2                    343550              1936489
F11    1387216                  31567                  27142                 443219                 582473                     2                    158473              1228741
F12    3050504                  60523                  50283                 808260                 946375                     4                    511941              2538559
G04    2581888                  59808                  55371                 537751                1086996                     8                    254104              2327776
G05    5566383                 128173                 106707                1374562                2072077                     1                    775562              4790820
G06    4393871                  99150                  79158                1006104                1702909                     4                    676081              3717786
G07    1782859                  41306                  32718                 368920                 710186                     0                    238679              1544180
G08    4571388                 106450                  81603                 969418                1876829                     6                    695866              3875516
G09    2780450                  63717                  48588                 575742                1058624                     2                    289015              2491433
G10    2161071                  50445                  40825                 469844                 835951                     2                    277239              1883830
G11    3704800                  81865                  70608                 815789                1376203                     8                    530764              3174028
G12    2250037                  54148                  43045                 379214                 887364                     4                    210892              2039141
H03    3224769                  70603                  59787                 675741                1170933                     3                    512005              2712761
H04    3510826                  77096                  63098                 844049                1350429                     6                    577522              2933298
H05    2085754                  45715                  36516                 439960                 794082                     0                    330425              1755329
H06    3412852                  75678                  59230                 750526                1298772                    10                    569444              2843398
H07    1123664                  25080                  18641                 395490                 408682                     4                    208304               915356
H08    4306433                  96096                  77906                 891064                1624845                     4                    579208              3727221
H09    2001007                  44459                  31418                 462951                 704410                     3                    329830              1671174
H10    1550369                  36184                  28664                 336277                 583599                     4                    187388              1362977
H11    3911694                 178056                  70659                 845931                1454802                     6                    655652              3256036
H12    2909170                  61877                  51168                1580817                 906403                     2                    608035              2301133
